Started GRPC Client

To alter the type, rate, SMA Channel or SMA Window, use these commands:
type <arg>
rate <arg>
channel <arg>
window <arg>

9 - NRK 3/Super, avg muted 20.808452432s, views 2 at 15:27:19.
10 - TV2 Norge, avg muted 20.268909469s, views 11 at 15:28:45.

1 - NRK1, avg muted 56.207809503s, views 9 at 15:28:01.
2 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
5 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
6 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
7 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
8 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
9 - NRK 3/Super, avg muted 20.808452432s, views 2 at 15:27:19.
10 - TV2 Norge, avg muted 20.268909469s, views 13 at 15:28:48.

1 - NRK1, avg muted 56.207809503s, views 9 at 15:28:18.
2 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
5 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
6 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
7 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
8 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
9 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.
10 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.

1 - NRK1, avg muted 58.587299794s, views 9 at 15:28:18.
2 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
5 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
6 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
7 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
8 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
9 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.
10 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.

